n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:286 R:0.990044 G:0.990010 B:0.989740 All:0.989932 (19.970399)
n:287 R:0.990060 G:0.990027 B:0.989757 All:0.989948 (19.977331)
n:288 R:0.990025 G:0.990005 B:0.989735 All:0.989922 (19.966119)
n:289 R:0.989960 G:0.989982 B:0.989737 All:0.989893 (19.953746)
n:290 R:0.990045 G:0.990057 B:0.989820 All:0.989974 (19.988689)
n:291 R:0.989961 G:0.989978 B:0.989732 All:0.989890 (19.952586)
n:292 R:0.990014 G:0.990055 B:0.989777 All:0.989949 (19.977867)
n:293 R:0.990018 G:0.990048 B:0.989788 All:0.989951 (19.978932)
n:294 R:0.989991 G:0.990023 B:0.989750 All:0.989921 (19.966030)
n:295 R:0.989957 G:0.989993 B:0.989715 All:0.989888 (19.951773)
n:296 R:0.990040 G:0.990078 B:0.989796 All:0.989971 (19.987619)
n:297 R:0.990053 G:0.990089 B:0.989832 All:0.989991 (19.996104)
n:298 R:0.990047 G:0.990094 B:0.989854 All:0.989998 (19.999340)
n:299 R:0.989992 G:0.990032 B:0.989771 All:0.989932 (19.970502)
n:300 R:0.990056 G:0.990099 B:0.989848 All:0.990001 (20.000419)
